공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택
"2022년 에스피파트너스 직원 채용 [웹개발, 데이터 분석부문]",(주)에스피파트너스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43999756&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 천안시 서북구 ,~ 10/31(월),"['신입·경력', '대졸↑']","['데이터분석가', ' 웹개발', ' 데이터시각화', ' 빅데이터', ' 솔루션 ']"
[CMES]  검사사업부 전 분야 채용 (시리즈B 300억 투자완료),(주)씨메스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43989379&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충북 청주시 ,~ 10/16(일),"['신입·경력', '대졸↑']","['기술지원', ' 유지보수', ' SE(시스템엔지니어)', ' SI개발', ' 알고리즘 ']"
생물정보학 전문가(BI) Screening 채용,(주)아이엠비디엑스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43999449&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 금천구 ,~ 10/15(토),"['신입·경력', '석사↑']","['데이터분석가', ' 머신러닝', ' 빅데이터', ' Python', ' R ']"
소프트웨어 개발자 채용,(주)한컴인스페이스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44013846&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/18(금),"['경력', '대졸↑']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 정보통신', ' S/W ']"
하반기 소프트웨어 개발 검증 신입/경력 수시 채용,슈어소프트테크(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44130008&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,서울 강남구 ,~ 11/03(목),"['신입·경력', '초대졸↑']","['QA/테스터', ' S/W', ' C#', ' C++', ' C언어 ']"
[뉴로메카] 로보틱스부문 연구개발부 인력 채용,(주)뉴로메카,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43896917&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/31(월),"['경력무관', '대졸↑']","['프론트엔드', ' Unity', ' 로봇엔지니어', ' R&D기획', ' 로봇설계 ']"
2022년 하반기 각 부문 신입/경력직 채용,(주)대건소프트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43958184&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/14(금),"['신입·경력', '학력무관']","['데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 앱개발', ' 웹개발 ']"
기술영업/시스템 엔지니어/응용프로그래머 채용,금아데이타테크(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43984730&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/16(일),"['신입', '대졸↑']","['웹개발', ' IT컨설팅', ' SE(시스템엔지니어)', ' 모델링', ' 미들웨어 ']"
"대전,서울/스타트업/통합공고(R&D-병특O, 사업기획, 학술영업)",브이픽스메디칼,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43924709&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 중구 ,채용시,"['경력무관', '대졸↑']","['딥러닝', ' 알고리즘', ' 이미지프로세싱', ' 컴퓨터비전', ' FPGA ']"
[컨텍] 소프트웨어 개발 인재채용,(주)컨텍,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44064075&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,상시채용,"['경력무관', '대졸↑']","['웹개발', ' S/W', ' C#', ' C++', ' C언어 ']"
웹 개발자 채용,(주)에셈블,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44077293&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/27(목),"['신입·경력', '학력무관']","['앱개발', ' 프론트엔드', ' S/W', ' Android', ' Java ']"
"[대전]기구설계 신입/경력사원 모집(Catia, Solidworks 활용)",(주)한국파워셀,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44045254&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/21(월),"['경력무관', '학력무관']","['기술지원', ' 백엔드/서버개발', ' 프론트엔드', ' SE(시스템엔지니어)', ' 네트워크 ']"
"[정규직] 소프트웨어(SW) 개발자(신입, 경력)",(주)라인월드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43919438&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/04(금),"['경력무관', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 유지보수', ' SI개발', ' 솔루션 ']"
[Perigee] Flight Control 엔지니어 및 테크니션 전 부문 모집,페리지에어로스페이스(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44064000&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 서구 ,~ 10/26(수),"['경력무관', '고졸↑']","['S/W', ' C++', ' C언어', ' Git', ' HTML ']"
이엔유와 함께 성장할 개발자를 모집합니다.,이엔유(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44138654&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/04(금),"['신입·경력', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' SI개발', ' ICT컨설팅', ' 데이터마이닝 ']"
백엔드 개발자,(주)데이터메이커,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42303412&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['신입·경력', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' RDBMS ']"
웹개발자 및 응용소프트웨어 개발자 채용,(주)오션소프트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44049087&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/23(일),"['경력무관', '학력무관']","['웹개발', ' 웹마스터', ' Windows', ' .NET', ' C# ']"
[단단광학] 기술연구소 광기계설계 부문 신입/경력 연구원 채용,(주)단단,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44026516&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/19(토),"['경력무관', '대졸↑']","['연구원', ' R&D', ' R&D기획', ' 광학설계', ' 기술연구 ']"
[Perigee] 구조 설계 엔지니어,페리지에어로스페이스(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44064959&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 서구 ,~ 10/26(수),"['신입·경력', '대졸↑']","['구조해석/설계', ' 생산', ' 금속', ' 열해석', ' 항공기 ']"
이차전지 진단/평가 연구개발 정규직 모집 공고,(주)민테크,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44144036&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,상시채용,"['경력무관', '대졸↑']","['연구원', ' R&D', ' 전기기술 등록일 22/10/06 ']"
백엔드 SW엔지니어 (대전),(주)넷타겟,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42715888&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/31(월),"['경력 5~10년', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' SE(시스템엔지니어)', ' 클라우드 ']"
[대전] Back-end Engineer,오케스트로(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43741637&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['경력 1~5년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 블록체인', ' GoLang', ' Java ']"
"기술개발 연구소(PC제어,머신비젼, CIM) 신입 및 경력",세종기술(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43830508&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남전체 ,~ 10/22(토),"['경력무관', '초대졸↑']","['.NET', ' C#', ' MFC', ' Python', ' VisualC·C++ ']"
앱개발 및 응용S/W 개발 경력사원 모집,㈜바이오니아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44074056&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/17(월),"['경력3년↑', '대졸↑']","['웹개발', ' 데이터마이닝', ' 펌웨어', ' Windows', ' 로봇설계 ']"
C# 개발자 (Automotive 시스템검증) - 대전,슈어소프트테크(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41431228&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['신입·경력', '초대졸↑']","['SE(시스템엔지니어)', ' S/W', ' C#', ' Linux', ' Python ']"
코아아이티 IT개발자 채용합니다,(주)코아아이티,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43894477&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충북 청주시 청원구 ,상시채용,"['경력무관', '고졸↑']","['백엔드/서버개발', ' 웹개발', ' SI개발', ' 유지보수', ' 빅데이터 ']"
2022년 동강엠텍(주) 하반기 하드웨어 엔지니어 경력 채용 공고,동강엠텍(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44055287&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['경력 5~10년', '대졸↑']","['데이터엔지니어', ' S/W', ' Python', ' 하드웨어엔지니어', ' 무역업 ']"
엔지니어 채용,(주)아인스에스엔씨,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44084303&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/26(토),"['경력무관', '고졸↑']","['머신러닝', ' Matlab', ' Python', ' R', ' 소프트웨어개발 등록일 22/09/27 ']"
Web 개발 경력직 채용,(주)사이버메드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43259869&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['경력 5~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 퍼블리셔', ' 프론트엔드', ' DBA ']"
(주)에이치비테크놀러지 머신비전/영상처리 알고리즘 개발자,(주)에이치비테크놀러지,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44063654&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 아산시 ,~ 10/26(수),"['경력무관', '대졸↑']","['알고리즘', ' 영상처리', ' 이미지프로세싱', ' S/W', ' AI(인공지능) ']"
웹 / 응용개발자  경력직 구합니다. (정규직만 채용),(주)멀틱스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44105418&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/29(화),"['경력 5~20년', '학력무관']","['웹개발', ' 이미지프로세싱', ' 컴퓨터비전', ' Java', ' jQuery ']"
반도체/디스플레이 검사장비 제어S/W,(주)머신앤비전,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43890516&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,충남 천안시 서북구 ,채용시,"['경력무관', '초대졸↑']","['네트워크', ' 딥러닝', ' 머신러닝', ' 알고리즘', ' 영상처리 ']"
BNF테크놀로지 SW개발분야 모집,비앤에프테크놀로지㈜,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43963999&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,내일마감,"['경력무관', '고졸↑']","['웹개발', ' QA/테스터', ' 빅데이터', ' 솔루션', ' C# ']"
인공지능 알고리즘 개발자 채용,가온플랫폼(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43838665&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['경력', '초대졸↑']","['데이터분석가', ' 딥러닝', ' 머신러닝', ' 모델링', ' 빅데이터 ']"
[플랜아이] AX사업부 프론트엔드&백엔드 프로그래머,(주)플랜아이,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43841524&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/24(월),"['경력 4~10년', '학력무관']","['백엔드/서버개발', ' 프론트엔드', ' Java', ' Javascript', ' NoSQL ']"
인공지능 분야 연구원 모집,(주)한백전자,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44015691&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/19(수),"['경력무관', '대졸↑']","['딥러닝', ' 머신러닝', ' 임베디드', ' AI(인공지능)', ' C언어 ']"
(주)그림 머신비전 소프트웨어 프로그래머(C++/MFC) 채용,(주)그림,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43841492&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,경기 광명시 ,~ 10/22(토),"['경력무관', '학력무관']","['영상처리', ' S/W', ' C#', ' C++', ' C언어 ']"
IoT 소프트웨어 엔지니어,(주)글래스돔코리아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43954732&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['경력 2~10년', '대졸↑']","['웹개발', ' SE(시스템엔지니어)', ' 블록체인', ' S/W', ' C++ ']"
Electrical HW 경력 채용,(주)인엘씨테크놀러지,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44126539&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,~ 10/31(월),"['경력 3~15년', '학력무관']","['임베디드', ' FPGA', ' H/W', ' Matlab', ' Python ']"
시스템 엔지니어(빅데이터 하둡 플랫폼 운영/관리),(주)에셈블,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44077460&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/27(목),"['경력무관', '대졸↑']","['데이터분석가', ' AI(인공지능)', ' C#', ' Java', ' Kotlin ']"
인공지능 개발자 신입 및 경력직 채용,(주)에셈블,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44077441&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 10/27(목),"['경력무관', '대졸↑']","['데이터분석가', ' AI(인공지능)', ' C#', ' Java', ' Kotlin ']"
개발PM,(주)파이버폭스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40914175&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['경력 5~10년', '학력무관']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 프론트엔드', ' 빅데이터 ']"
[대전]리튬배터리 전문기업 경력사원 모집(전장설계·FW),(주)한국파워셀,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44045112&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,상시채용,"['경력3년↑', '학력무관']","['기술지원', ' 백엔드/서버개발', ' 프론트엔드', ' SE(시스템엔지니어)', ' 네트워크 ']"
(주)인포카 본사 시스템 프론트 개발 정직원 채용,(주)인포카,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43990619&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['신입·경력', '대졸↑']","['프론트엔드', ' API', ' S/W', ' CSS', ' CSS3 ']"
(주)인포카 본사 시스템 백엔드 개발 정직원 채용,(주)인포카,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43990648&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,채용시,"['신입·경력', '대졸↑']","['프론트엔드', ' API', ' S/W', ' CSS', ' CSS3 ']"
Embedded ARM/Linux 응용SW 및 Firmware 개발 엔지니어,(주)테크플렉스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40996786&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전전체 ,상시채용,"['신입·경력', '대졸↑']","['웹개발', ' 임베디드', ' 펌웨어', ' C++', ' C언어 ']"
[대전] 회로설계 및 F/W 개발자 채용공고,(주)비트버스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43918783&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 유성구 ,~ 11/04(금),"['신입·경력', '초대졸↑']","['빅데이터', ' 임베디드', ' 펌웨어', ' H/W', ' IoT ']"
(대전/서울/판교)꿀비 경력직 채용공고(웹개발),(주)꿀비,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44086945&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 서구 ,~ 10/14(금),"['경력3년↑', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' Java', ' Linux', ' Python ']"
(대전/서울)꿀비 경력직 채용공고(빅데이터),(주)꿀비,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44086932&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 서구 ,~ 10/14(금),"['경력4년↑', '대졸↑']","['빅데이터', ' Hadoop', ' Linux', ' Python', ' R ']"
IoT 소프트웨어 엔지니어,(주)글래스돔코리아,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44170727&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=8e70740e-b2e0-4301-ad54-6d91b2a87352,대전 서구 ,~ 11/10(목),"['경력 5~15년', '초대졸↑']","['IoT', ' C++', ' C언어', ' Git', ' GoLang ']"
"[기업부설연구소] 소프트웨어 개발 경력, 신입 채용",(주)쓰리웨이소프트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44122915&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 대덕구 ,~ 11/03(목),"['경력무관', '대졸↑']","['S/W', ' Javascript', ' Python', ' ReactJS', ' 솔루션업체 수정일 22/10/04 ']"
AI 알고리즘 / 응용소프트웨어 / 웹 개발자 채용 (부문별 모집),(주)레이다앤스페이스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43802154&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 유성구 ,상시채용,"['경력무관', '대졸↑']","['백엔드/서버개발', ' 딥러닝', ' 머신러닝', ' 알고리즘', ' S/W ']"
"코스피상장 중견기업] 제어설계(PC, PLC, 비전, 물류)경력직 채",(주)인큐브시스템,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44116511&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 아산시 ,~ 10/16(일),"['경력2년↑', '대졸↑']","['C#', ' C++', ' C언어', ' VisualC·C++', ' PLC ']"
코스피상장 중견기업] 물류시스템 제어개발 경력직 채용,(주)인큐브시스템,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44165153&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 아산시 ,~ 10/16(일),"['경력3년↑', '대졸↑']","['RTOS', ' C#', ' C++', ' C언어', ' Python ']"
코스피상장 중견기업] 제어설계(AGV/LGV) 개발 경력직 채용,(주)인큐브시스템,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44165159&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 아산시 ,~ 10/16(일),"['경력2년↑', '대졸↑']","['C#', ' C++', ' C언어', ' Python', ' Linux ']"
소프트웨어 개발자 경력 및 신입 정규채용,(주)제오시스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44125818&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충북 청주시 흥덕구 ,~ 10/15(토),"['경력무관', '초대졸↑']","['웹개발', ' Android', ' iOS', ' Java', ' PHP ']"
ML Engineer,(주)데이터메이커,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42972081&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전전체 ,상시채용,"['신입·경력', '대졸↑']","['데이터분석가', ' 웹개발', ' SE(시스템엔지니어)', ' 딥러닝', ' 머신러닝 ']"
멀티플랫폼 소프트웨어 개발자를 모집합니다.,(주)겟블루,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44108200&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,충남 홍성군 ,~ 10/30(일),"['경력무관', '학력무관']","['C#', ' C++', ' ASP', ' Java', ' JSP ']"
2022년 하반기 신입/경력 개발자  채용,(주)알에스팀,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44152590&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC%2C&searchType=search&paid_fl=n&search_uuid=aa7bbc3d-b429-443d-9d82-bff4a999f81c,대전 중구 ,~ 12/05(월),"['경력무관', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Java', ' Python ']"
